year_start,borough,ProgramRows
2017,Bronx,127
2017,Brooklyn,157
2017,Manhattan,109
2017,Queens,103
2017,Staten Island,12
2020,Bronx,141
2020,Brooklyn,161
2020,Manhattan,107
2020,Queens,116
2020,Staten Island,13
2021,Bronx,134
2021,Brooklyn,159
2021,Manhattan,110
2021,Queens,121
2021,Staten Island,14
2022,Bronx,137
2022,Brooklyn,164
2022,Manhattan,108
2022,Queens,134
2022,Staten Island,14
2023,Bronx,132
2023,Brooklyn,164
2023,Manhattan,112
2023,Queens,137
2023,Staten Island,14
2024,Bronx,128
2024,Brooklyn,170
2024,Manhattan,113
2024,Queens,140
2024,Staten Island,15
