SourceYear,borough_district,language,ProgramRows
2017-2018,Bronx-07,Spanish,17
2017-2018,Bronx-08,Spanish,5
2017-2018,Bronx-09,Spanish,35
2017-2018,Bronx-10,Spanish,40
2017-2018,Bronx-11,Spanish,5
2017-2018,Bronx-11,Arabic,1
2017-2018,Bronx-11,Bengali,1
2017-2018,Bronx-12,Spanish,13
2017-2018,Bronx-75,Spanish,10
2017-2018,Brooklyn-13,Spanish,5
2017-2018,Brooklyn-13,French,4
2017-2018,Brooklyn-14,Spanish,14
2017-2018,Brooklyn-14,Yiddish,2
2017-2018,Brooklyn-14,Chinese,1
2017-2018,Brooklyn-14,French,1
2017-2018,Brooklyn-14,Japanese,1
2017-2018,Brooklyn-14,Polish,1
2017-2018,Brooklyn-15,Spanish,14
2017-2018,Brooklyn-15,Chinese,4
2017-2018,Brooklyn-15,French,3
2017-2018,Brooklyn-15,Arabic,1
2017-2018,Brooklyn-16,Spanish,1
2017-2018,Brooklyn-17,Haitian Creole,4
2017-2018,Brooklyn-17,Spanish,4
2017-2018,Brooklyn-18,Haitian Creole,2
2017-2018,Brooklyn-19,Spanish,18
2017-2018,Brooklyn-19,Bengali,1
2017-2018,Brooklyn-20,Chinese,17
2017-2018,Brooklyn-20,Spanish,9
2017-2018,Brooklyn-20,Arabic,3
2017-2018,Brooklyn-20,Russian,1
2017-2018,Brooklyn-20,Yiddish,1
2017-2018,Brooklyn-21,Chinese,6
2017-2018,Brooklyn-21,Spanish,6
2017-2018,Brooklyn-21,Russian,2
2017-2018,Brooklyn-21,Hebrew,1
2017-2018,Brooklyn-22,Russian,1
2017-2018,Brooklyn-22,Spanish,1
2017-2018,Brooklyn-22,Urdu,1
2017-2018,Brooklyn-32,Spanish,18
2017-2018,Brooklyn-75,Spanish,4
2017-2018,Brooklyn-75,Yiddish,3
2017-2018,Brooklyn-75,Chinese,2
2017-2018,Manhattan-01,Chinese,4
2017-2018,Manhattan-01,Spanish,3
2017-2018,Manhattan-02,Chinese,11
2017-2018,Manhattan-02,Spanish,4
2017-2018,Manhattan-03,Spanish,8
2017-2018,Manhattan-03,French,2
2017-2018,Manhattan-03,Russian,1
2017-2018,Manhattan-04,Spanish,14
2017-2018,Manhattan-05,Spanish,6
2017-2018,Manhattan-06,Spanish,52
2017-2018,Manhattan-75,Spanish,3
2017-2018,Manhattan-79,Spanish,1
2017-2018,Queens-24,Spanish,25
2017-2018,Queens-24,Chinese,2
2017-2018,Queens-25,Chinese,15
2017-2018,Queens-25,Spanish,4
2017-2018,Queens-25,Korean,1
2017-2018,Queens-26,Chinese,3
2017-2018,Queens-27,Spanish,8
2017-2018,Queens-27,Bengali,2
2017-2018,Queens-28,Spanish,5
2017-2018,Queens-28,Bengali,1
2017-2018,Queens-29,Spanish,3
2017-2018,Queens-29,Bengali,1
2017-2018,Queens-30,Spanish,27
2017-2018,Queens-30,Chinese,1
2017-2018,Queens-75,Spanish,4
